id,title,year,length,votes,rating,genre
51,"'burbs, The",1989,101,7641,6.0,comedy
112,10 Things I Hate About You,1999,97,19095,6.7,comedy
156,12 Angry Men,1957,96,29278,8.7,drama
173,13 Going On 30,2004,98,7859,6.4,comedy
186,"13th Warrior, The",1999,102,14344,6.1,action
197,15 Minutes,2001,120,10866,6.1,drama
249,2 Days in the Valley,1996,104,5057,6.4,drama
282,2001: A Space Odyssey,1968,156,64982,8.3,other
287,2010,1984,116,7300,6.5,other
297,21 Grams,2003,124,21857,8.0,drama
326,25th Hour,2002,135,15788,7.8,drama
333,28 Days,2000,103,7465,6.0,drama
334,28 Days Later...,2002,113,24174,7.3,other
404,"39 Steps, The",1935,86,7931,8.0,drama
448,48 Hrs.,1982,96,8742,6.8,action
472,50 First Dates,2004,99,13497,6.8,comedy
480,"51st State, The",2001,92,6752,6.1,action
534,8 Mile,2002,110,17900,6.8,drama
537,8 femmes,2002,111,5503,7.1,comedy
762,About Schmidt,2002,125,23279,7.3,comedy
763,About a Boy,2002,101,18318,7.5,comedy
781,Abre los ojos,1997,117,8087,7.8,drama
802,Absolute Power,1997,121,7995,6.4,drama
821,"Abyss, The",1989,171,21987,7.4,action
855,Ace Ventura: Pet Detective,1994,86,20705,6.2,comedy
966,Adaptation.,2002,114,25140,7.9,comedy
968,Addams Family Values,1993,94,7756,6.1,comedy
969,"Addams Family, The",1991,99,11549,6.4,comedy
971,Addicted to Love,1997,100,5445,6.0,comedy
1054,Adventures in Babysitting,1987,102,5363,6.3,comedy
1058,"Adventures of Baron Munchausen, The",1988,125,7927,6.8,comedy
1062,"Adventures of Buckaroo Banzai Across the 8th Dimension, The",1984,103,5036,6.1,comedy
1093,"Adventures of Priscilla, Queen of the Desert, The",1994,104,7721,7.2,comedy
1098,"Adventures of Robin Hood, The",1938,102,7359,8.2,action
1192,"African Queen, The",1951,105,13765,8.1,comedy
1220,After Hours,1985,96,5630,7.4,comedy
1274,"Age of Innocence, The",1993,139,6049,7.1,drama
1389,Air Force One,1997,124,26156,6.3,action
1409,Airplane!,1980,88,23369,7.8,comedy
1455,Akira,1988,124,14840,7.7,action
1491,Aladdin,1992,90,22499,7.6,animation
1586,Ali,2001,165,9294,6.4,drama
1652,Alien,1979,116,63400,8.3,other
1677,Alien: Resurrection,1997,116,24358,6.0,action
1679,Aliens,1986,154,63961,8.3,action
1693,Alive,1993,127,5786,6.7,action
1702,All About Eve,1950,138,13038,8.5,drama
1748,All Quiet on the Western Front,1930,147,6835,8.2,action
1784,All the President's Men,1976,138,12724,8.0,drama
1884,Almost Famous,2000,162,38648,8.0,comedy
1912,Along Came a Spider,2001,104,9456,6.1,drama
1986,Amadeus,1984,180,36955,8.3,drama
2106,American Beauty,1999,121,109991,8.5,drama
2144,American Graffiti,1973,110,12758,7.6,comedy
2149,American History X,1998,119,59677,8.4,drama
2178,American Pie,1999,95,41126,6.8,comedy
2179,American Pie 2,2001,105,22752,6.3,comedy
2181,"American President, The",1995,114,11834,6.9,comedy
2182,American Psycho,2000,102,21639,6.8,drama
2192,American Splendor,2003,101,8530,7.8,comedy
2208,American Wedding,2003,103,13590,6.3,comedy
2209,"American Werewolf in London, An",1981,92,8347,7.2,comedy
2252,Amistad,1997,152,10543,7.0,drama
2321,Amores perros,2000,153,15079,8.2,drama
2391,Analyze This,1999,109,24521,6.6,comedy
2429,Anchorman: The Legend of Ron Burgundy,2004,104,11553,6.5,comedy
2520,Angel Heart,1987,113,8335,7.1,other
2593,Anger Management,2003,106,14280,6.0,comedy
2628,Animal House,1978,109,17609,7.5,comedy
2702,Anna and the King,1999,148,6739,6.6,drama
2728,Annie Hall,1977,93,21462,8.3,comedy
2817,Antitrust,2001,108,7326,6.0,drama
2838,Antz,1998,83,16312,7.0,animation
2845,Any Given Sunday,1999,156,19531,6.4,drama
2905,"Apartment, The",1960,125,11214,8.4,comedy
2924,Apocalypse Now,1979,202,64785,8.5,action
2927,Apollo 13,1995,140,41098,7.5,drama
2988,Apt Pupil,1998,112,6728,6.4,drama
3012,Arachnophobia,1990,103,8608,6.1,comedy
3124,Arlington Road,1999,117,17189,7.1,drama
3151,Army of Darkness,1993,96,22118,7.4,action
3231,Artificial Intelligence: AI,2001,146,36623,6.8,drama
3257,As Good as It Gets,1997,139,47441,7.7,comedy
3466,Atlantis: The Lost Empire,2001,95,6323,6.4,action
3613,Austin Powers in Goldmember,2002,94,22870,6.2,action
3614,Austin Powers: International Man of Mystery,1997,94,33755,7.0,action
3615,Austin Powers: The Spy Who Shagged Me,1999,95,37019,6.5,action
3727,"Aviator, The",2004,170,16217,7.5,drama
3751,Awakenings,1990,121,11835,7.4,drama
3795,BASEketball,1998,103,7096,6.1,comedy
3832,Babe,1995,89,16988,7.4,comedy
3979,Back to the Future,1985,111,68647,8.1,action
3980,Back to the Future Part II,1989,108,28547,7.0,comedy
3981,Back to the Future Part III,1990,118,24682,6.7,comedy
3989,Backdraft,1991,132,12637,6.6,action
4027,Bad Boys,1995,118,15326,6.4,action
4028,Bad Boys II,2003,145,13087,6.1,action
4077,Bad Santa,2003,98,11189,7.2,comedy
4080,Bad Taste,1987,86,7048,6.9,comedy
4244,Bambi,1942,70,9197,7.5,animation
4299,Bandits,2001,123,12382,6.7,comedy
4477,Barry Lyndon,1975,184,12285,8.0,drama
4486,Barton Fink,1991,116,10223,7.5,drama
4503,Basic,2003,98,8370,6.2,drama
4504,Basic Instinct,1992,128,19520,6.7,other
4515,"Basketball Diaries, The",1995,102,6280,6.6,drama
4557,Batman,1989,126,35927,7.4,action
4560,Batman Returns,1992,126,23010,6.5,action
4566,Batoru rowaiaru,2000,122,12138,7.9,action
4777,Beautiful Girls,1996,112,7452,7.1,comedy
4780,"Beautiful Mind, A",2001,135,43291,7.8,drama
4794,Beauty and the Beast,1991,90,25672,7.8,animation
4805,Beavis and Butt-Head Do America,1996,81,9491,6.2,animation
4878,Beetle Juice,1988,92,20966,7.1,comedy
4884,Before Sunrise,1995,105,9618,7.8,drama
4885,Before Sunset,2004,80,8789,8.3,drama
4913,Behind Enemy Lines,2001,106,10856,6.1,action
4953,Being John Malkovich,1999,113,55079,7.9,comedy
4957,Being There,1979,130,10521,8.0,comedy
5099,Ben-Hur,1959,214,21031,8.1,action
5101,Bend It Like Beckham,2002,115,14437,7.3,comedy
5122,Benny & Joon,1993,98,7201,6.7,comedy
5226,"Best Years of Our Lives, The",1946,172,6138,8.4,drama
5227,Best in Show,2000,90,11790,7.5,comedy
5271,Better Off Dead...,1985,97,8109,7.2,comedy
5335,Beverly Hills Cop,1984,105,16360,7.1,action
5447,Bicentennial Man,1999,132,8925,6.2,drama
5470,Big,1988,104,18660,7.2,comedy
5511,"Big Chill, The",1983,105,6401,7.1,comedy
5535,Big Fish,2003,125,31525,8.1,comedy
5567,"Big Lebowski, The",1998,117,50179,8.0,comedy
5606,"Big Sleep, The",1946,116,9980,8.3,other
5640,Big Trouble in Little China,1986,99,10803,6.7,action
5692,Bill & Ted's Excellent Adventure,1989,90,12277,6.6,comedy
5717,Billy Elliot,2000,110,16725,7.7,drama
5723,Billy Madison,1995,89,11626,6.1,comedy
5795,"Birdcage, The",1996,117,12429,6.5,comedy
5805,"Birds, The",1963,119,20072,7.8,drama
5818,Birthday Girl,2001,93,5340,6.1,comedy
5940,Black Hawk Down,2001,142,32530,7.6,action
5991,Black Rain,1989,125,5636,6.3,action
6086,Blade,1998,110,24372,6.8,action
6087,Blade II,2002,108,17139,6.6,action
6088,Blade Runner,1982,117,74749,8.2,action
6098,"Blair Witch Project, The",1999,86,39814,6.1,other
6120,Blast from the Past,1999,112,9483,6.4,comedy
6140,Blazing Saddles,1974,93,17166,7.7,comedy
6337,Blood Simple.,1984,97,9684,7.7,drama
6350,Blood Work,2002,110,5965,6.3,drama
6444,Blow,2001,124,18670,7.1,drama
6537,Blue Velvet,1986,120,18756,7.7,drama
6557,"Blues Brothers, The",1980,148,28964,7.7,action
6642,Body Heat,1981,113,5063,7.4,other
6694,Boiler Room,2000,118,8586,6.8,drama
6779,"Bone Collector, The",1999,118,17766,6.2,drama
6808,Bonnie and Clyde,1967,111,12653,7.9,drama
6837,Boogie Nights,1997,156,27380,7.6,drama
6872,"Boondock Saints, The",1999,110,17935,7.7,action
6878,"Boot, Das",1981,216,28920,8.5,drama
6967,Born on the Fourth of July,1989,145,11480,7.0,drama
7024,Bottle Rocket,1996,92,7286,7.4,comedy
7061,Bound,1996,109,11911,7.5,romance
7079,"Bourne Identity, The",2002,119,29871,7.3,action
7080,"Bourne Supremacy, The",2004,108,19878,7.3,action
7101,Bowfinger,1999,97,15000,6.4,comedy
7104,Bowling for Columbine,2002,120,36747,8.5,comedy
7174,Boys Don't Cry,1999,118,14456,7.6,drama
7211,Boyz n the Hood,1991,107,10319,7.7,drama
7229,Braindead,1992,97,11552,7.5,comedy
7288,Braveheart,1995,177,92437,8.3,action
7293,Brazil,1985,94,30735,8.0,comedy
7308,Breakdown,1997,95,7099,6.7,action
7312,"Breakfast Club, The",1985,97,24223,7.6,comedy
7313,Breakfast at Tiffany's,1961,115,12246,7.7,comedy
7339,Breaking the Waves,1996,158,10494,7.7,drama
7422,"Bridge Too Far, A",1977,176,5527,7.0,action
7427,"Bridge on the River Kwai, The",1957,161,22408,8.4,drama
7433,"Bridges of Madison County, The",1995,135,7633,6.9,drama
7436,Bridget Jones's Diary,2001,97,24791,7.0,comedy
7481,Bring It On,2000,98,11784,6.1,comedy
7491,Bringing Out the Dead,1999,121,13989,6.7,drama
7493,Bringing Up Baby,1938,102,9250,8.2,comedy
7505,Broadcast News,1987,133,5008,7.0,comedy
7574,Bronenosets Potyomkin,1925,66,6042,8.2,drama
7580,"Bronx Tale, A",1993,121,9175,7.5,drama
7639,Bruce Almighty,2003,101,23905,6.4,comedy
7691,Bubba Ho-tep,2002,92,7142,7.5,comedy
7760,Buffalo '66,1998,110,6652,7.2,comedy
7781,"Bug's Life, A",1998,96,23184,7.4,animation
7813,Bull Durham,1988,108,8434,7.1,comedy
7843,Bullets Over Broadway,1994,98,6685,7.4,comedy
7850,Bullitt,1968,113,6191,7.3,action
7861,Bulworth,1998,108,8277,6.9,comedy
7897,"Buono, il brutto, il cattivo, Il",1966,180,30224,8.8,action
8012,Butch Cassidy and the Sundance Kid,1969,110,20168,8.2,other
8027,"Butterfly Effect, The",2004,120,22975,7.6,drama
8078,C'era una volta il West,1968,158,17241,8.7,drama
8117,Cabaret,1972,124,7176,7.8,drama
8167,Caddyshack,1980,98,13453,7.1,comedy
8419,Can't Hardly Wait,1998,101,8191,6.2,comedy
8520,Cape Fear,1991,128,15585,7.1,drama
8701,Carlito's Way,1993,145,13080,7.6,drama
8788,Carrie,1976,98,11778,7.2,drama
8882,Casablanca,1942,102,66030,8.8,drama
8933,Casino,1995,176,27234,7.8,drama
8956,Cast Away,2000,143,34580,7.3,drama
9033,Catch Me If You Can,2002,141,39915,7.6,drama
9160,"Cell, The",2000,109,16118,6.1,other
9168,Cellular,2004,94,6182,6.4,action
9209,Central do Brasil,1998,108,8980,7.9,drama
9375,Changing Lanes,2002,99,12779,6.6,drama
9406,Charade,1963,113,9046,8.1,comedy
9416,Chariots of Fire,1981,123,6666,7.3,drama
9512,Chasing Amy,1997,111,32141,7.6,comedy
9694,Chicago,2002,113,34933,7.5,comedy
9720,Chicken Run,2000,84,25099,7.4,animation
9854,Chinatown,1974,131,25695,8.4,drama
9904,Chocolat,2000,121,20031,7.3,comedy
9975,Christine,1983,110,5666,6.0,drama
9993,"Christmas Story, A",1983,93,19737,8.1,comedy
9996,Christmas Vacation,1989,97,9977,6.9,comedy
10014,"Chronicles of Riddick, The",2004,135,11438,6.2,action
10091,Cidade de Deus,2002,135,25964,8.7,drama
10092,"Cider House Rules, The",1999,126,18950,7.5,drama
10125,Cinderella,1950,74,5596,7.3,animation
10210,Citizen Kane,1941,119,61083,8.7,drama
10228,City Lights,1931,87,7802,8.5,comedy
10234,City Slickers,1991,112,9286,6.7,comedy
10244,City of Angels,1998,114,15333,6.2,drama
10269,"Civil Action, A",1998,112,6847,6.4,drama
10358,Clear and Present Danger,1994,141,13025,6.8,action
10374,Clerks.,1994,92,39927,7.9,comedy
10379,"Client, The",1994,119,8340,6.4,drama
10380,Cliffhanger,1993,112,12434,6.0,action
10414,"Clockwork Orange, A",1971,137,65283,8.3,drama
10422,Close Encounters of the Third Kind,1977,137,26304,7.7,drama
10475,Clue,1985,97,8767,6.7,comedy
10477,Clueless,1995,97,16521,6.7,comedy
10532,Cocoon,1985,117,7694,6.6,comedy
10602,Cold Mountain,2003,152,15712,7.4,drama
10625,Collateral,2004,120,24499,7.7,drama
10664,"Color Purple, The",1985,154,10599,7.6,drama
10667,"Color of Money, The",1986,119,9095,6.8,drama
10803,Coming to America,1988,116,13103,6.6,comedy
10838,"Commitments, The",1991,118,6058,7.4,comedy
10909,Con Air,1997,115,26642,6.3,action
10914,Conan the Barbarian,1982,129,13624,6.5,action
10966,Confessions of a Dangerous Mind,2002,113,11487,7.1,drama
10984,Confidence,2003,97,6168,6.8,drama
11047,Conspiracy Theory,1997,135,15470,6.4,drama
11057,Constantine,2005,121,11633,6.4,action
11063,Contact,1997,153,36390,7.3,drama
11073,"Contender, The",2000,126,7023,6.9,drama
11105,"Conversation, The",1974,113,10260,8.1,drama
11121,"Cook the Thief His Wife & Her Lover, The",1989,98,5676,7.1,drama
11136,Cool Hand Luke,1967,126,14167,8.2,drama
11141,Cool Runnings,1993,98,7593,6.3,comedy
11150,"Cooler, The",2003,101,6329,7.0,comedy
11158,Cop Land,1997,116,12677,6.7,drama
11187,Copycat,1995,123,7804,6.5,drama
11328,"Count of Monte Cristo, The",2002,134,13907,7.4,action
11382,Courage Under Fire,1996,117,8884,6.7,action
11641,Crimes and Misdemeanors,1989,104,7302,7.9,comedy
11670,Crimson Tide,1995,116,14033,7.1,action
11704,Crocodile Dundee,1986,98,12034,6.4,comedy
11774,"Crow, The",1994,98,20290,7.2,action
11787,Cruel Intentions,1999,97,25634,6.5,drama
11845,"Crying Game, The",1992,112,9524,7.3,drama
11876,Cube,1997,90,16205,7.4,other
11972,"Curse of the Jade Scorpion, The",2001,103,5846,6.8,comedy
12050,Cyrano de Bergerac,1990,137,5148,7.5,drama
12291,Dancer in the Dark,2000,140,15686,7.8,drama
12296,Dances with Wolves,1990,236,28561,7.8,drama
12368,Dangerous Liaisons,1988,119,12559,7.6,drama
12467,Dark City,1998,100,23508,7.6,other
12471,"Dark Crystal, The",1982,93,6531,6.9,other
12541,Darkman,1990,96,6130,6.1,action
12608,Dave,1993,110,10421,7.0,comedy
12637,Dawn of the Dead,1978,139,12621,7.7,action
12638,Dawn of the Dead,2004,109,16283,7.4,action
12647,"Day After Tomorrow, The",2004,124,23749,6.3,action
12679,Day of the Dead,1985,97,5053,6.5,drama
12683,"Day of the Jackal, The",1973,145,5310,7.8,other
12694,"Day the Earth Stood Still, The",1951,85,10148,8.1,drama
12727,Dazed and Confused,1993,103,13926,7.3,comedy
12753,Dead Again,1991,107,6817,7.1,romance
12765,Dead Calm,1989,96,5527,6.9,other
12793,Dead Man,1995,120,10097,7.6,other
12795,Dead Man Walking,1995,122,16177,7.6,drama
12817,Dead Poets Society,1989,128,43294,7.7,drama
12834,"Dead Zone, The",1983,103,6338,7.2,drama
13051,Death to Smoochy,2002,109,8003,6.3,comedy
13114,Deconstructing Harry,1997,96,7342,7.1,comedy
13155,"Deer Hunter, The",1978,183,28210,8.1,drama
13198,Delicatessen,1991,95,11486,7.8,comedy
13221,Deliverance,1972,109,14417,7.8,drama
13271,Demolition Man,1993,115,15100,6.1,action
13464,Desperado,1995,106,17929,6.8,action
13645,"Devil's Advocate, The",1997,144,26904,7.0,drama
13741,Dial M for Murder,1954,105,7989,7.8,other
13762,Diamonds Are Forever,1971,120,8738,6.6,action
13779,Diarios de motocicleta,2004,128,8479,8.0,drama
13806,Dick,1999,94,5004,6.3,comedy
13831,Die Another Day,2002,133,22136,6.4,action
13832,Die Hard,1988,131,58870,8.0,action
13834,Die Hard 2,1990,124,22987,6.7,action
13836,Die Hard: With a Vengeance,1995,131,25258,7.0,action
13843,Die xue shuang xiong,1989,104,9323,8.0,action
13941,Dinosaur,2000,82,5839,6.3,animation
13992,"Dirty Dozen, The",1967,145,7340,7.7,action
13997,Dirty Harry,1971,99,11108,7.6,action
14006,Dirty Pretty Things,2002,97,6274,7.6,drama
14007,Dirty Rotten Scoundrels,1988,110,7993,6.9,comedy
14192,Do the Right Thing,1989,120,9324,7.7,comedy
14238,Doctor Zhivago,1965,200,10283,7.9,drama
14260,Dodgeball: A True Underdog Story,2004,92,14584,6.6,comedy
14269,Dog Day Afternoon,1975,124,14962,8.0,drama
14285,Dog Soldiers,2002,104,5782,6.8,action
14309,Dogma,1999,130,43391,7.3,comedy
14328,Dogville,2003,135,14307,8.0,drama
14368,"Dolce vita, La",1960,180,5285,8.0,drama
14388,Dolores Claiborne,1995,132,5446,7.2,drama
14442,Don Juan DeMarco,1995,97,6857,6.5,comedy
14501,Don't Say a Word,2001,113,10098,6.2,drama
14578,Donnie Brasco,1997,127,20029,7.6,drama
14579,Donnie Darko,2001,133,51961,8.3,drama
14609,"Doors, The",1991,140,10363,6.7,drama
14697,Double Indemnity,1944,110,11592,8.5,drama
14791,Down with Love,2003,101,7426,6.5,comedy
14850,Dr. No,1962,110,11864,7.2,action
14858,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,93,63471,8.7,comedy
14866,Dracula,1992,128,19972,7.1,drama
15052,Driving Miss Daisy,1989,99,8656,7.4,comedy
15153,Duck Soup,1933,68,9870,8.3,comedy
15235,Dumb & Dumber,1994,101,27713,6.6,comedy
15242,Dumbo,1941,64,6828,7.4,animation
15249,Dune,1984,190,16903,6.3,action
15367,E.T. the Extra-Terrestrial,1982,120,44175,7.8,drama
15449,Easy Rider,1969,94,10230,7.2,action
15520,Ed Wood,1994,127,22612,8.0,comedy
15549,"Edge, The",1997,117,6035,6.6,action
15563,Edtv,1999,122,10085,6.2,comedy
15573,Edward Scissorhands,1990,105,27017,7.7,drama
15689,Election,1999,103,17521,7.4,comedy
15711,Elephant,2003,81,9203,7.3,drama
15716,"Elephant Man, The",1980,124,16422,8.2,drama
15727,Elf,2003,95,10165,7.0,comedy
15744,Elizabeth,1998,124,14733,7.6,drama
15846,Emma,1996,121,6431,6.9,comedy
15884,"Emperor's New Groove, The",2000,78,8532,7.4,animation
15888,Empire Records,1995,107,8990,6.2,comedy
15896,Empire of the Sun,1987,154,9963,7.5,drama
16034,Enemy at the Gates,2001,131,19169,7.3,action
16038,Enemy of the State,1998,131,23263,7.1,action
16081,"English Patient, The",1996,160,25210,7.1,drama
16122,Enter the Dragon,1973,99,8078,7.4,action
16135,Entrapment,1999,113,18543,6.1,comedy
16182,Equilibrium,2002,107,17579,7.6,action
16195,Eraserhead,1977,89,7207,7.1,drama
16216,Erin Brockovich,2000,130,24301,7.3,drama
16315,Escape from Alcatraz,1979,112,6131,7.3,drama
16323,Escape from New York,1981,99,9924,6.8,action
16424,Eternal Sunshine of the Spotless Mind,2004,108,46240,8.6,comedy
16454,EuroTrip,2004,90,8390,6.1,comedy
16500,Ever After,1998,121,10250,7.0,comedy
16543,Everyone Says I Love You,1996,101,7314,6.9,comedy
16574,Evil Dead II,1987,85,15743,7.6,action
16575,"Evil Dead, The",1981,86,14407,7.4,other
16600,Evita,1996,134,8371,6.2,drama
16623,Excalibur,1981,119,11867,7.4,other
16643,Executive Decision,1996,134,7653,6.3,action
16678,"Exorcist, The",1973,132,34162,7.9,drama
16698,"Experiment, Das",2001,119,6601,7.8,drama
16777,Eyes Wide Shut,1999,159,37868,7.0,drama
16819,Fa yeung nin wa,2000,94,7380,8.0,drama
16860,Face/Off,1997,133,37506,7.1,action
16880,"Faculty, The",1998,104,13143,6.1,other
16895,Fahrenheit 9/11,2004,122,34666,7.9,documentary
16966,Fallen,1998,123,9367,6.7,other
16976,Falling Down,1993,113,14536,7.3,comedy
17035,"Family Man, The",2000,125,11220,6.5,comedy
17094,Fantasia,1940,80,14925,7.8,animation
17098,Fantasia/2000,1999,75,5353,7.4,animation
17142,Far and Away,1992,140,8556,6.2,drama
17144,Far from Heaven,2002,107,9167,7.7,drama
17174,Fargo,1996,98,65597,8.2,drama
17238,Fast Times at Ridgemont High,1982,90,10361,7.1,comedy
17271,Fatal Attraction,1987,123,8541,6.7,drama
17314,Father of the Bride,1991,105,8636,6.4,comedy
17377,Fear and Loathing in Las Vegas,1998,118,21484,7.2,comedy
17480,Femme Fatale,2002,114,6083,6.4,other
17542,Ferris Bueller's Day Off,1986,102,32130,7.7,comedy
17551,Festen,1998,105,11983,8.2,drama
17589,"Few Good Men, A",1992,138,25237,7.5,drama
17602,Fiddler on the Roof,1971,181,5893,7.6,drama
17613,Field of Dreams,1989,107,21270,7.7,drama
17625,Fierce Creatures,1997,93,5216,6.1,comedy
17644,"Fifth Element, The",1997,126,55398,7.1,action
17657,Fight Club,1999,139,112092,8.5,drama
17800,Final Destination,2000,98,16504,6.6,other
17801,Final Destination 2,2003,90,8481,6.3,other
17807,Final Fantasy: The Spirits Within,2001,106,16451,6.5,action
17836,Finding Forrester,2000,136,13439,7.3,drama
17843,Finding Nemo,2003,100,41846,8.3,animation
17845,Finding Neverland,2004,106,17715,8.1,drama
17941,"Firm, The",1993,154,14708,6.6,drama
17950,First Blood,1982,97,11956,6.8,action
17999,"Fish Called Wanda, A",1988,108,25035,7.7,comedy
18011,"Fisher King, The",1991,137,11952,7.4,comedy
18151,Flatliners,1990,110,9830,6.3,other
18195,Fletch,1985,94,7562,6.6,comedy
18340,"Fly, The",1986,92,9914,7.0,drama
18498,For Love of the Game,1999,137,5782,6.1,drama
18520,For Your Eyes Only,1981,127,8061,6.7,action
18552,Forbidden Planet,1956,98,6736,7.7,drama
18615,Forever Young,1992,102,6453,6.0,romance
18642,Forrest Gump,1994,142,89722,8.2,comedy
18735,Four Rooms,1995,98,10675,6.0,comedy
18742,Four Weddings and a Funeral,1994,117,17820,7.2,comedy
18796,Frailty,2001,100,10551,7.4,drama
18850,Frankenstein,1931,71,6045,7.9,drama
18851,Frankenstein,1994,123,6941,6.0,drama
18877,Frantic,1988,120,7040,6.6,other
18923,Freaky Friday,2003,97,8052,6.9,comedy
18932,Freddy Vs. Jason,2003,97,11109,6.1,action
18989,"French Connection, The",1971,104,11783,7.8,action
18993,French Kiss,1995,111,7653,6.2,comedy
19008,Frequency,2000,118,15317,7.4,drama
19029,Frida,2002,123,8614,7.5,drama
19033,Friday,1995,91,7020,6.7,comedy
19051,Fried Green Tomatoes,1991,130,10777,7.4,comedy
19122,From Dusk Till Dawn,1996,108,28473,6.8,action
19127,From Hell,2001,122,17292,6.8,other
