id,title,year,length,votes,rating,genre
19132,From Here to Eternity,1953,118,5995,7.9,drama
19142,From Russia with Love,1963,115,10291,7.3,action
19243,"Fugitive, The",1993,130,48292,7.7,action
19270,Full Metal Jacket,1987,116,47757,8.2,drama
19271,"Full Monty, The",1997,91,22115,7.2,comedy
19463,Galaxy Quest,1999,102,22341,7.2,comedy
19486,Gallipoli,1981,110,6278,7.6,drama
19520,"Game, The",1997,128,28099,7.6,other
19550,Gandhi,1982,188,15879,8.0,drama
19575,Gangs of New York,2002,166,34808,7.3,drama
19621,Garden State,2004,109,23814,8.1,comedy
19695,Gattaca,1997,101,26071,7.6,drama
19809,"General's Daughter, The",1999,116,11128,6.1,drama
19810,"General, The",1927,83,6644,8.4,action
19963,Get Shorty,1995,105,14825,7.0,comedy
20002,Gettysburg,1993,259,5191,7.5,drama
20024,Ghost,1990,128,19005,6.8,drama
20027,Ghost Busters,1984,107,29762,7.5,comedy
20037,Ghost Dog: The Way of the Samurai,1999,116,13542,7.5,action
20060,Ghost World,2000,111,17976,7.8,comedy
20063,"Ghost and the Darkness, The",1996,109,8360,6.4,action
20139,"Gift, The",2000,111,12440,6.8,drama
20245,"Girl Next Door, The",2004,110,10452,6.8,comedy
20297,Girl with a Pearl Earring,2003,100,6391,7.3,drama
20302,"Girl, Interrupted",1999,127,16362,7.0,drama
20391,Gladiator,2000,155,92495,8.0,action
20430,Glengarry Glen Ross,1992,100,11485,7.8,drama
20459,Glory,1989,122,21861,8.1,action
20477,Go,1999,103,20663,7.4,comedy
20545,"Godfather, The",1972,175,122755,9.1,drama
20546,"Godfather: Part II, The",1974,200,71363,8.9,drama
20547,"Godfather: Part III, The",1990,169,22385,7.3,drama
20552,"Gods Must Be Crazy, The",1980,109,5581,6.8,action
20554,Gods and Monsters,1998,105,9020,7.6,drama
20649,"Gold Rush, The",1925,82,6429,8.3,comedy
20691,GoldenEye,1995,130,22991,6.8,action
20698,Goldfinger,1964,112,19754,7.8,action
20750,Gone with the Wind,1939,233,28836,8.1,drama
20754,Gong fu,2004,99,5299,7.9,action
20777,Good Bye Lenin!,2003,121,9334,7.8,comedy
20789,"Good Girl, The",2002,93,8254,6.9,comedy
20809,"Good Morning, Vietnam",1987,119,13823,7.1,comedy
20835,Good Will Hunting,1997,126,60858,7.8,drama
20873,Goodfellas,1990,145,68219,8.6,drama
20893,"Goonies, The",1985,114,18895,7.2,comedy
20939,Gosford Park,2001,137,16831,7.3,drama
20986,"Graduate, The",1967,105,27555,8.2,comedy
21032,"Grand bleu, Le",1988,119,8055,7.4,drama
21061,"Grande illusion, La",1937,114,5020,8.3,drama
21098,"Grapes of Wrath, The",1940,128,7855,8.2,drama
21136,Grease,1978,110,22214,6.8,comedy
21167,"Great Dictator, The",1940,124,10465,8.4,comedy
21169,"Great Escape, The",1963,172,20075,8.3,action
21173,Great Expectations,1998,111,8139,6.4,drama
21261,Green Card,1990,107,5175,6.0,comedy
21285,"Green Mile, The",1999,188,60142,8.1,drama
21313,Gremlins,1984,106,15044,6.8,action
21382,Grosse Pointe Blank,1997,107,20400,7.4,comedy
21393,Groundhog Day,1993,101,44819,8.0,comedy
21412,Grumpy Old Men,1993,103,5857,6.7,comedy
21614,"Guns of Navarone, The",1961,156,5157,7.6,action
21721,Hable con ella,2002,112,12609,8.1,drama
21757,"Haine, La",1995,96,5714,7.8,drama
21799,Half Baked,1998,73,6119,6.1,comedy
21829,Halloween,1978,101,19248,7.7,other
21865,Hamlet,1996,242,10065,7.7,drama
21897,"Hand That Rocks the Cradle, The",1992,110,5565,6.2,drama
21957,Hannah and Her Sisters,1986,106,7597,7.8,comedy
21959,Hannibal,2001,133,28876,6.2,other
21990,Happiness,1998,134,11737,7.7,comedy
22012,Happy Gilmore,1996,92,17746,6.8,comedy
22064,"Hard Day's Night, A",1964,87,6314,7.7,comedy
22166,Harold & Kumar Go to White Castle,2004,90,8376,7.1,comedy
22168,Harold and Maude,1971,91,9173,7.9,comedy
22186,Harry Potter and the Chamber of Secrets,2002,152,38394,7.3,other
22187,Harry Potter and the Prisoner of Azkaban,2004,141,24973,7.8,other
22188,Harry Potter and the Sorcerer's Stone,2001,152,46741,7.2,other
22199,Hart's War,2002,125,6368,6.2,drama
22211,Harvey,1950,104,7879,8.1,comedy
22438,Heartbreakers,2001,110,8037,6.2,comedy
22448,Hearts in Atlantis,2001,101,6577,6.7,drama
22460,Heat,1995,188,44588,7.9,action
22470,Heathers,1989,102,11110,7.4,comedy
22500,Heavenly Creatures,1994,108,11453,7.7,drama
22528,Hedwig and the Angry Inch,2001,93,6072,7.7,comedy
22643,Hellboy,2004,132,15565,6.7,action
22674,Hellraiser,1987,89,6815,6.5,other
22733,Henry V,1989,137,8241,7.9,action
22778,Hercules,1997,92,5279,6.6,animation
22926,Hidalgo,2004,136,7328,6.6,action
22975,High Crimes,2002,115,6043,6.1,drama
22979,High Fidelity,2000,113,29704,7.6,comedy
22989,High Noon,1952,85,12465,8.3,other
23043,Highlander,1986,116,18146,7.1,action
23172,His Girl Friday,1940,92,6667,8.2,comedy
23232,History of the World: Part I,1981,97,5640,6.4,comedy
23250,Hitch,2005,118,7554,6.8,comedy
23258,"Hitchhiker's Guide to the Galaxy, The",2005,110,7644,6.9,comedy
23371,Holes,2003,117,5235,7.2,comedy
23499,Home Alone,1990,103,21670,6.4,comedy
23709,Hoosiers,1986,115,6350,7.5,drama
23781,"Horse Whisperer, The",1998,170,6744,6.4,drama
23866,Hot Shots!,1991,84,10637,6.2,action
23891,Hotaru no haka,1988,85,6886,8.3,animation
23912,Hotel Rwanda,2004,121,8328,8.5,drama
23951,"Hours, The",2002,114,16692,7.6,drama
24005,House of Sand and Fog,2003,126,8164,7.8,drama
24118,How to Lose a Guy in 10 Days,2003,116,9257,6.1,comedy
24154,Howards End,1992,140,5098,7.4,drama
24212,"Hudsucker Proxy, The",1994,111,12903,7.4,comedy
24234,Hulk,2003,138,20710,6.1,action
24280,"Hunchback of Notre Dame, The",1996,91,6093,6.5,animation
24305,"Hunt for Red October, The",1990,134,26666,7.6,action
24349,"Hurricane, The",1999,145,12445,7.3,drama
24369,"Hustler, The",1961,134,8220,8.2,drama
24413,I Am Sam,2001,132,9945,7.2,drama
24466,I Heart Huckabees,2004,106,7262,7.0,comedy
24692,"I, Robot",2004,115,22330,7.0,action
24720,Ice Age,2002,81,22302,7.3,animation
24734,"Ice Storm, The",1997,112,13115,7.5,drama
24779,Identity,2003,90,18747,7.3,drama
24840,Igby Goes Down,2002,99,7958,7.1,comedy
25019,In & Out,1997,92,10352,6.2,comedy
25022,In America,2002,105,8371,8.1,drama
25132,In the Bedroom,2001,130,10177,7.4,drama
25150,In the Heat of the Night,1967,109,6752,8.0,drama
25156,In the Line of Fire,1993,138,12923,7.3,drama
25164,In the Name of the Father,1993,133,10611,7.8,drama
25250,"Incredibles, The",2004,121,30749,8.3,action
25272,Independence Day,1996,153,61831,6.1,action
25292,Indiana Jones and the Last Crusade,1989,127,61583,8.1,action
25293,Indiana Jones and the Temple of Doom,1984,118,34880,7.2,action
25392,Innerspace,1987,120,7354,6.4,action
25464,"Insider, The",1999,157,28780,8.0,drama
25474,Insomnia,2002,118,22235,7.3,drama
25494,Instinct,1999,126,6298,6.1,drama
25550,Interview with the Vampire: The Vampire Chronicles,1994,123,26698,7.2,drama
25583,Intolerable Cruelty,2003,100,11967,6.6,comedy
25624,Invasion of the Body Snatchers,1956,80,5286,7.8,other
25743,"Iron Giant, The",1999,86,15151,7.9,animation
25866,It Could Happen to You,1994,101,5005,6.2,comedy
25872,It Happened One Night,1934,105,7924,8.3,comedy
25958,It's a Mad Mad Mad Mad World,1963,192,5891,7.2,action
25962,It's a Wonderful Life,1946,118,41199,8.6,drama
25977,"Italian Job, The",2003,111,18496,6.9,action
26048,JFK,1991,206,26456,7.8,drama
26098,Jackass: The Movie,2002,87,8893,6.1,comedy
26102,Jackie Brown,1997,154,28891,7.5,drama
26116,Jacob's Ladder,1990,115,8901,7.3,drama
26261,Jaws,1975,130,46978,8.2,other
26269,Jay and Silent Bob Strike Back,2001,104,24211,6.9,comedy
26310,Jean de Florette,1986,120,5826,8.0,drama
26378,"Jerk, The",1979,94,6715,6.8,comedy
26383,Jerry Maguire,1996,139,34623,7.3,comedy
26393,Jersey Girl,2004,102,6853,6.4,comedy
26644,John Q,2002,116,8952,6.4,drama
26837,Joy Ride,2001,97,8132,6.6,other
26963,Jumanji,1995,104,14874,6.0,action
26996,"Jungle Book, The",1967,78,9027,7.5,animation
27052,Jurassic Park,1993,127,57473,7.4,action
27148,K-19: The Widowmaker,2002,140,8292,6.6,drama
27150,K-PAX,2001,120,17235,7.2,drama
27255,Kalifornia,1993,118,8113,6.6,other
27377,"Karate Kid, The",1984,126,10783,6.6,drama
27430,Kate & Leopold,2001,123,8060,6.3,comedy
27519,Keeping the Faith,2000,128,11351,6.8,comedy
27542,Kelly's Heroes,1970,144,5325,7.3,action
27584,Key Largo,1948,101,5085,7.8,drama
27681,"Kid, The",2000,104,5418,6.1,comedy
27695,Kids,1995,91,9099,6.6,drama
27719,Kill Bill: Vol. 1,2003,111,65026,8.3,action
27720,Kill Bill: Vol. 2,2004,136,44189,8.3,action
27796,"Killing Fields, The",1984,141,9575,7.9,drama
27821,"Killing, The",1956,85,6980,8.1,drama
27852,King Arthur,2004,140,14272,6.0,action
27863,King Kong,1933,100,10301,7.9,other
27891,"King of Comedy, The",1983,109,6189,7.5,comedy
27941,Kingdom of Heaven,2005,145,6498,7.0,action
27945,Kingpin,1996,117,10643,6.6,comedy
28023,Kiss of the Dragon,2001,98,7887,6.2,action
28032,Kiss the Girls,1997,111,9041,6.4,drama
28140,"Knight's Tale, A",2001,132,15006,6.5,action
28378,Kramer vs. Kramer,1979,105,7587,7.5,drama
28602,L.A. Confidential,1997,138,69600,8.4,drama
28607,L.A. Story,1991,95,7505,6.8,comedy
28645,Labyrinth,1986,101,12661,7.0,other
28654,Ladder 49,2004,115,5583,6.5,action
28682,Ladri di biciclette,1948,93,7381,8.4,drama
28747,Lady and the Tramp,1955,75,6952,7.4,animation
28787,Ladyhawke,1985,121,7090,6.8,romance
28790,"Ladykillers, The",2004,104,10580,6.4,comedy
28903,Lantana,2001,121,5421,7.6,drama
28950,Lashou shentan,1992,131,6568,7.9,action
28971,"Last Boy Scout, The",1991,96,10044,6.4,action
28978,"Last Castle, The",2001,131,7233,6.4,action
29005,"Last Emperor, The",1987,219,9507,7.7,drama
29070,"Last Picture Show, The",1971,118,5340,8.0,drama
29099,"Last Samurai, The",2003,154,31668,7.9,action
29123,"Last Temptation of Christ, The",1988,164,8074,7.5,drama
29165,"Last of the Mohicans, The",1992,117,15293,7.5,drama
29287,Lawrence of Arabia,1962,227,31230,8.6,drama
29323,"League of Their Own, A",1992,128,14318,6.9,comedy
29353,Leaving Las Vegas,1995,111,18027,7.5,drama
29394,Legally Blonde,2001,96,17572,6.4,comedy
29397,Legend,1985,89,7744,6.1,romance
29399,"Legend of Bagger Vance, The",2000,126,7123,6.4,comedy
29439,Legends of the Fall,1994,133,13327,6.7,drama
29489,Lemony Snicket's A Series of Unfortunate Events,2004,108,8402,6.7,comedy
29631,Lethal Weapon,1987,117,20041,7.5,action
29632,Lethal Weapon 2,1989,118,14997,6.9,action
29633,Lethal Weapon 3,1992,121,13780,6.3,action
29634,Lethal Weapon 4,1998,127,17758,6.3,action
29732,Liar Liar,1997,86,22969,6.5,comedy
29772,Licence to Kill,1989,133,8523,6.2,action
29823,"Life Aquatic with Steve Zissou, The",2004,118,9170,7.3,comedy
29834,"Life Less Ordinary, A",1997,103,8209,6.4,comedy
29852,Life as a House,2001,127,7696,7.5,comedy
29859,Life of Brian,1979,94,33325,8.1,comedy
29860,"Life of David Gale, The",2003,130,10580,7.1,drama
29984,Lilo & Stitch,2002,86,10944,7.3,animation
29999,"Limey, The",1999,89,7732,7.2,drama
30040,"Lion King, The",1994,89,32924,7.8,animation
30046,"Lion in Winter, The",1968,137,5871,8.1,drama
30118,Little Big Man,1970,149,6385,7.7,comedy
30196,"Little Mermaid, The",1989,83,12681,7.3,animation
30247,Little Shop of Horrors,1986,94,8911,6.4,comedy
30273,Little Women,1994,115,7008,7.1,drama
30301,Live and Let Die,1973,121,8022,6.6,action
30312,"Living Daylights, The",1987,130,7495,6.4,action
30393,"Lock, Stock and Two Smoking Barrels",1998,126,34293,7.9,comedy
30413,Logan's Run,1976,120,5441,6.5,action
30429,Lola rennt,1998,80,32791,8.2,drama
30432,Lolita,1962,152,9150,7.6,comedy
30433,Lolita,1997,137,5757,6.8,drama
30468,Lone Star,1996,135,8518,7.7,drama
30524,"Long Kiss Goodnight, The",1996,120,12516,6.5,action
30573,"Longest Day, The",1962,180,6517,7.7,action
30658,"Lord of the Rings: The Fellowship of the Ring, The",2001,208,157608,8.8,action
30659,"Lord of the Rings: The Return of the King, The",2003,251,103631,9.0,action
30660,"Lord of the Rings: The Two Towers, The",2002,223,114797,8.8,action
30701,"Lost Boys, The",1987,97,11294,6.7,comedy
30713,Lost Highway,1997,135,15936,7.3,drama
30757,Lost in Translation,2003,102,42450,8.0,comedy
30822,Love Actually,2003,129,21918,7.7,comedy
31293,M,1931,99,12053,8.5,other
31307,MASH,1970,112,14829,7.8,comedy
31447,Mad Max,1979,93,11542,6.8,action
31448,Mad Max 2,1981,94,12091,7.4,action
31641,"Magnificent Seven, The",1960,128,10058,7.8,drama
31650,Magnolia,1999,188,45992,8.0,drama
31720,"Majestic, The",2001,156,8649,6.7,drama
31724,Major League,1989,107,8078,6.7,comedy
31806,Malcolm X,1992,202,6873,7.5,drama
31846,Mallrats,1995,94,22837,7.1,comedy
31859,"Maltese Falcon, The",1941,101,19444,8.4,other
31962,"Man Who Knew Too Much, The",1956,120,5388,7.4,drama
31975,"Man Who Shot Liberty Valance, The",1962,123,7281,8.2,other
31983,"Man Who Wasn't There, The",2001,118,17028,7.7,comedy
31986,"Man Who Would Be King, The",1975,129,8035,7.9,other
31992,"Man Without a Face, The",1993,114,5055,6.4,drama
32040,"Man in the Iron Mask, The",1998,132,11127,6.0,action
32071,Man on Fire,2004,146,14358,7.4,action
32077,Man on the Moon,1999,118,19826,7.3,comedy
32101,"Man with the Golden Gun, The",1974,125,7425,6.4,action
32124,"Manchurian Candidate, The",1962,126,14232,8.4,drama
32125,"Manchurian Candidate, The",2004,129,9896,6.7,other
32159,Manhattan,1979,96,12391,8.2,comedy
32166,Manhattan Murder Mystery,1993,104,5044,7.3,comedy
32171,Manhunter,1986,124,7272,7.2,drama
32292,Marathon Man,1976,125,5907,7.4,other
32365,"Mariachi, El",1992,81,6817,7.0,action
32493,Mars Attacks!,1996,106,27363,6.1,action
32547,Mary Poppins,1964,140,13909,7.6,animation
32582,"Mask of Zorro, The",1998,136,18220,6.8,action
32585,"Mask, The",1994,97,21533,6.4,action
32635,Master and Commander: The Far Side of the World,2003,138,21328,7.5,action
32670,Matchstick Men,2003,120,13684,7.4,comedy
32708,"Matrix Reloaded, The",2003,138,57225,7.1,action
32709,"Matrix Revolutions, The",2003,125,40058,6.3,action
32710,"Matrix, The",1999,136,143853,8.5,action
32742,Maverick,1994,127,13659,6.7,comedy
32846,"Me, Myself & Irene",2000,116,21305,6.0,comedy
32853,Mean Girls,2004,97,11591,7.0,comedy
32860,Mean Streets,1973,107,8008,7.5,drama
32863,"Meaning of Life, The",1983,112,12351,7.3,comedy
32914,Meet Joe Black,1998,178,16796,6.6,drama
32932,Meet the Fockers,2004,115,11950,6.5,comedy
32936,Meet the Parents,2000,108,30804,7.0,comedy
33034,Memento,2000,113,90317,8.7,drama
33077,Men in Black,1997,98,53231,6.8,action
33088,Men of Honor,2000,129,9684,6.6,drama
33236,"Messenger: The Story of Joan of Arc, The",1999,148,10476,6.2,drama
33279,Metropolis,1927,117,11988,8.4,drama
33305,"Mexican, The",2001,123,13935,6.0,comedy
33363,Michael Collins,1996,133,5009,6.8,drama
33443,Midnight Cowboy,1969,113,13091,7.9,drama
33448,Midnight Express,1978,121,7617,7.6,drama
33465,Midnight Run,1988,126,9196,7.5,action
33476,Midnight in the Garden of Good and Evil,1997,155,8517,6.4,drama
33509,Mighty Aphrodite,1995,95,7083,7.0,comedy
33527,"Mighty Wind, A",2003,91,5941,7.3,comedy
33605,Miller's Crossing,1990,115,14575,8.0,drama
33609,Million Dollar Baby,2004,132,20195,8.3,drama
33727,Minority Report,2002,145,51199,7.8,action
33745,Miracle,2004,135,5785,7.7,drama
33764,Miracle on 34th Street,1947,96,5677,7.9,comedy
33820,Misery,1990,107,13120,7.5,drama
33838,Miss Congeniality,2000,109,16235,6.2,comedy
33899,"Mission, The",1986,126,6910,7.3,drama
33901,Mission: Impossible,1996,110,33496,6.6,action
33913,Mississippi Burning,1988,128,8084,7.6,drama
34038,Modern Times,1936,87,10326,8.5,comedy
34153,Mona Lisa Smile,2003,117,6838,6.1,comedy
34250,Mononoke-hime,1997,134,19350,8.3,action
34275,Monsoon Wedding,2001,114,5241,7.4,drama
34278,Monster,2003,109,12306,7.4,drama
34299,Monster's Ball,2001,112,15037,7.3,drama
34306,"Monsters, Inc.",2001,92,38712,8.0,animation
34339,Monty Python and the Holy Grail,1975,91,60565,8.4,comedy
34394,Moonstruck,1987,102,6644,7.1,comedy
34603,"Mothman Prophecies, The",2002,119,11073,6.5,other
34626,Moulin Rouge!,2001,127,47689,7.7,drama
34749,Mr. Holland's Opus,1995,143,9273,7.1,drama
34797,Mr. Smith Goes to Washington,1939,129,11565,8.4,comedy
34826,Mrs. Doubtfire,1993,125,19744,6.4,comedy
34852,Much Ado About Nothing,1993,111,12491,7.5,comedy
34917,Mulan,1998,88,11192,7.2,animation
34926,Mulholland Dr.,2001,147,35504,7.9,drama
34952,"Mummy Returns, The",2001,130,23551,6.1,action
34967,"Mummy, The",1999,124,36216,6.5,action
34987,"Muppet Movie, The",1979,95,5890,7.3,comedy
35030,Murder by Numbers,2002,120,8358,6.0,other
35072,Muriel's Wedding,1994,106,6685,7.1,comedy
35195,My Best Friend's Wedding,1997,105,16648,6.4,comedy
35197,My Big Fat Greek Wedding,2002,95,21675,6.9,comedy
35228,My Cousin Vinny,1992,120,10877,7.2,comedy
35246,My Fair Lady,1964,170,12721,7.8,comedy
35287,My Girl,1991,102,5591,6.3,comedy
35302,My Left Foot,1989,98,5011,7.6,drama
35334,My Own Private Idaho,1991,102,5619,6.7,drama
35434,"Mystery, Alaska",1999,119,5440,6.4,comedy
35439,Mystic River,2003,137,28969,8.0,drama
35581,"Naked Gun 2 1/2: The Smell of Fear, The",1991,85,9833,6.3,comedy
35583,"Naked Gun: From the Files of Police Squad!, The",1988,85,13010,7.4,comedy
35625,"Name der Rose, Der",1986,130,11654,7.7,drama
35668,Napoleon Dynamite,2004,86,17524,7.2,comedy
35681,Narc,2002,105,7185,7.3,drama
35743,National Treasure,2004,131,12361,6.6,action
35764,Natural Born Killers,1994,122,25596,6.6,action
35771,"Natural, The",1984,134,7353,7.4,drama
35892,"Negotiator, The",1998,139,19100,7.2,action
35921,Nell,1994,113,5752,6.3,drama
35987,Network,1976,121,9501,8.0,drama
36028,Never Say Never Again,1983,121,7537,6.1,action
36233,Nick of Time,1995,90,5125,6.2,drama
36389,"Night at the Opera, A",1935,93,6008,8.1,comedy
36428,"Night of the Hunter, The",1955,93,7543,8.2,drama
36434,Night of the Living Dead,1968,90,11590,7.6,other
36450,Night on Earth,1991,129,5339,7.5,comedy
36479,"Nightmare Before Christmas, The",1993,76,19646,7.8,animation
36487,"Nightmare On Elm Street, A",1984,91,12590,7.1,other
36516,Nikita,1990,112,10867,7.6,other
36580,"Ninth Gate, The",1999,133,16291,6.4,other
36613,Nixon,1995,212,5837,6.8,drama
36661,No Man's Land,2001,98,7184,7.9,comedy
36732,No Way Out,1987,114,5814,7.0,drama
36907,North by Northwest,1959,136,35648,8.6,other
36945,"Nosferatu, eine Symphonie des Grauens",1922,92,8404,8.1,other
36987,"Notebook, The",2004,123,8830,7.8,drama
37012,Nothing to Lose,1997,98,5606,6.5,action
37013,Notorious,1946,101,10637,8.3,romance
37037,Notting Hill,1999,124,27285,7.0,comedy
37188,Nuovo cinema Paradiso,1989,170,13999,8.4,drama
37194,Nurse Betty,2000,110,10441,6.6,comedy
37231,"O Brother, Where Art Thou?",2000,106,37961,7.8,comedy
37324,Ocean's Eleven,2001,116,44662,7.5,comedy
37325,Ocean's Twelve,2004,125,14797,6.0,comedy
37339,October Sky,1999,108,12847,7.7,drama
37345,Octopussy,1983,131,8331,6.4,action
37412,Of Mice and Men,1992,115,5356,7.5,drama
37445,Office Space,1999,89,26134,7.7,comedy
37451,"Officer and a Gentleman, An",1982,122,7076,6.8,drama
37614,Old School,2003,92,14283,6.7,comedy
37625,Oldboy,2003,120,8983,8.4,action
37708,"Omen, The",1976,107,7895,7.3,drama
37724,On Her Majesty's Secret Service,1969,140,7219,6.7,action
37794,On the Waterfront,1954,108,12803,8.4,drama
37818,Once Upon a Time in America,1984,227,19292,8.2,drama
37819,Once Upon a Time in Mexico,2003,102,14732,6.0,action
37824,Once Were Warriors,1994,103,6240,7.9,drama
37874,One Fine Day,1996,108,6522,6.2,comedy
37876,One Flew Over the Cuckoo's Nest,1975,133,70234,8.7,drama
37891,One Hour Photo,2002,96,17130,7.1,drama
37894,One Hundred and One Dalmatians,1961,79,5942,7.1,animation
37932,One Night at McCool's,2001,93,6893,6.2,comedy
38061,Open Range,2003,139,8799,7.5,drama
38066,Open Water,2003,79,7204,6.1,drama
38136,"Opposite of Sex, The",1998,105,7404,6.7,comedy
38155,Orange County,2002,82,8526,6.1,comedy
38182,Ordinary People,1980,124,6785,7.9,drama
38349,"Others, The",2001,104,36914,7.8,drama
38455,Out of Africa,1985,160,6797,6.9,drama
38473,Out of Sight,1998,123,18776,7.3,comedy
38505,Outbreak,1995,127,13796,6.4,drama
38525,"Outlaw Josey Wales, The",1976,135,7388,7.7,drama
38553,"Outsiders, The",1983,91,7125,6.8,drama
38573,Overboard,1987,112,5150,6.1,comedy
38683,"Pacte des loups, Le",2001,152,12958,7.0,action
38852,Panic Room,2002,113,24302,7.0,drama
38930,Papillon,1973,150,9553,7.8,drama
39042,Parenthood,1989,125,7638,7.0,comedy
39082,"Paris, Texas",1984,147,5226,7.6,drama
39243,"Passion of the Christ, The",2004,127,34046,7.4,drama
39282,Patch Adams,1998,115,12110,6.1,comedy
39295,Paths of Glory,1957,87,14391,8.6,drama
39307,Patriot Games,1992,117,12751,6.8,action
39310,"Patriot, The",2000,164,29665,6.8,action
39328,Patton,1970,172,14351,8.2,drama
